Time (hr)   Mold-gypsum (mm)
0	0
825.1928021	0
1187.660668	9.840954274
1480.719794	16.10337972
1688.946015	29.52286282
1920.308483	48.31013917
2105.398458	64.41351889
2290.488432	79.6222664
2460.154242	91.25248509
2614.395887	109.1451292
2760.92545	129.72167
2961.439589	144.0357853
3154.241645	158.3499006
3316.195373	174.4532803
3478.1491	191.4512922
3686.375321	203.9761431
3871.465296	215.6063618
4095.115681	225.4473161
4311.053985	231.7097416
4526.992288	237.0775348
4742.930591	239.7614314
4958.868895	243.3399602
5159.383033	248.7077535
5390.745501	253.1809145
5598.971722	253.1809145
5838.046272	254.9701789
6061.696658	254.9701789
6493.573265	254.0755467
6948.586118	254.9701789
7650.385604	254.0755467
8074.550129	254.0755467
8521.8509	255.8648111
